title,first_author,year,journal,sources,id
Coal dust pollution affects the early life cycle of brooding and broadcast-spawning corals.,Rada-Osorio,2026,Marine environmental research,PubMed,PMID:41875832
"Survival, rarity, and extinction in tropical stony corals.",Wilson,2026,Conservation biology : the journal of the Society for Conservation Biology,PubMed+WoS,PMID:41454911
Genomic insights into natural and restored populations of Acropora palmata: implications for genetic diversity and conservation strategies.,Alvarado-Cerón,2026,Marine environmental research,PubMed+WoS,PMID:41411953
Success of restoration strategies in preventing extirpation of 2 critically endangered coral species.,Muller,2025,Conservation biology : the journal of the Society for Conservation Biology,PubMed,PMID:41273189
Does reef crest zone selection influence ,Ramos Romero,2025,PeerJ,PubMed,PMID:41256771
2023 global heatwave causes mass mortality of a keystone coral on shallow Western Atlantic reefs.,Birkart,2025,iScience,PubMed,PMID:41210959
Heat-driven functional extinction of Caribbean ,Manzello,2025,"Science (New York, N.Y.)",PubMed,PMID:41129628
Bioinformatic approach to explain how Mg from seawater may be incorporated into coral skeletons.,Bell,2025,Royal Society open science,PubMed,PMID:39845712
Disease prevalence and bacterial isolates associated with ,Garzon-Machado,2024,PeerJ,PubMed,PMID:39670091
Genet identity and season drive gene expression in outplanted Acropora palmata at different reef sites.,Young,2024,Scientific reports,PubMed,PMID:39604459
Chromosome-level genome assemblies and genetic maps reveal heterochiasmy and macrosynteny in endangered Atlantic Acropora.,Locatelli,2024,BMC genomics,PubMed,PMID:39567907
Seventeen-year study reveals fluctuations in key ecological indicators on two reef crests in Cuba.,Ramos,2024,PeerJ,PubMed,PMID:38282865
"Environmental predictors for the restoration of a critically endangered coral, Acropora palmata, along the Florida reef tract.",Banister,2024,PloS one,PubMed,PMID:38166125
Similar functional composition of fish assemblages despite contrasting levels of habitat degradation on shallow Caribbean coral reefs.,Olán-González,2023,PloS one,PubMed,PMID:38150437
Coral larval settlement induction using tissue-associated and exuded coralline algae metabolites and the identification of putative chemical cues.,Quinlan,2023,Proceedings. Biological sciences,PubMed,PMID:37848062
Dead but not forgotten: complexity of ,Engleman,2023,PeerJ,PubMed,PMID:37842045
"Long-term survival, growth, and reproduction of ",Mendoza Quiroz,2023,PeerJ,PubMed,PMID:37547720
Relationships between phenotypic plasticity and epigenetic variation in two Caribbean Acropora corals.,Hackerott,2023,Molecular ecology,PubMed,PMID:37454286
"9000 years of change in coral community structure and accretion in Belize reefs, western Atlantic.",Gischler,2023,Scientific reports,PubMed,PMID:37443199
Twenty-year record of white pox disease in the Florida Keys: importance of environmental risk factors as drivers of coral health.,Sutherland,2023,Diseases of aquatic organisms,PubMed,PMID:37260163
Different disease inoculations cause common responses of the host immune system and prokaryotic component of the microbiome in Acropora palmata.,Young,2023,PloS one,PubMed,PMID:37228141
The potential for coral reef restoration to mitigate coastal flooding as sea levels rise.,Toth,2023,Nature communications,PubMed,PMID:37085476
Long-term maintenance of a heterologous symbiont association in Acropora palmata on natural reefs.,Elder,2023,The ISME journal,PubMed+WoS,PMID:36510006
Fine scale population structure of ,García-Urueña,2022,PeerJ,PubMed,PMID:36061746
Inheritance of somatic mutations by animal offspring.,Vasquez Kuntz,2022,Science advances,PubMed+WoS,PMID:36044584
Millennia-old coral holobiont DNA provides insight into future adaptive trajectories.,Scott,2022,Molecular ecology,PubMed+WoS,PMID:35943423
"The past, present, and future of coral reef growth in the Florida Keys.",Toth,2022,Global change biology,PubMed,PMID:35789026
Acropora cervicornis and Acropora palmata cultured on a low maintenance line nursery design in The Bahamas.,Maurer,2022,PloS one,PubMed,PMID:35468162
Optimizing seawater temperature conditions to increase the productivity of ,Merck,2022,PeerJ,PubMed,PMID:35287349
Assisted gene flow using cryopreserved sperm in critically endangered coral.,Hagedorn,2021,Proceedings of the National Academy of Sciences of the United States of America,PubMed+WoS,PMID:34493583
"Trace element proxies and stable isotopes used to identify water quality threats to elkhorn coral (Acropora palmata) at two national parks in St. Croix, USVI.",Bayless,2021,Marine pollution bulletin,PubMed+WoS,PMID:34119965
Genomic variation of an endosymbiotic dinoflagellate (Symbiodinium 'fitti') among closely related coral hosts.,Reich,2021,Molecular ecology,PubMed+WoS,PMID:33964051
Discovery and quantification of anaerobic nitrogen metabolisms among oxygenated tropical Cuban stony corals.,Babbin,2021,The ISME journal,PubMed,PMID:33342999
Innate immune gene expression in Acropora palmata is consistent despite variance in yearly disease events.,Young,2020,PloS one,PubMed,PMID:33091033
Rewiring coral: Anthropogenic nutrients shift diverse coral-symbiont nutrient and carbon interactions toward symbiotic algal dominance.,Allgeier,2020,Global change biology,PubMed,PMID:32710518
Widespread loss of Caribbean acroporid corals was underway before coral bleaching and disease outbreaks.,Cramer,2020,Science advances,PubMed,PMID:32426458
Leachate effects of pelagic Sargassum spp. on larval swimming behavior of the coral Acropora palmata.,Antonio-Martínez,2020,Scientific reports,PubMed+WoS,PMID:32127622
Growth dynamics in ,Weil,2020,PeerJ,PubMed,PMID:32095328
"A revised Holocene coral sea-level database from the Florida reef tract, USA.",Stathakopoulos,2020,PeerJ,PubMed,PMID:31998555
Microbiome differences in disease-resistant vs. susceptible Acropora corals subjected to disease challenge assays.,Rosales,2019,Scientific reports,PubMed,PMID:31797896
Metagenome of Acropora palmata coral rubble: Potential metabolic pathways and diversity in the reef ecosystem.,Sánchez-Quinto,2019,PloS one,PubMed,PMID:31394568
What drives phenotypic divergence among coral clonemates of Acropora palmata?,Durante,2019,Molecular ecology,PubMed,PMID:31282031
Sediment associated with algal turfs inhibits the settlement of two endangered coral species.,Speare,2019,Marine pollution bulletin,PubMed+WoS,PMID:31179987
The unprecedented loss of Florida's reef-building corals and the emergence of a novel coral-reef assemblage.,Toth,2019,Ecology,PubMed,PMID:31170313
Genotypic variation in disease susceptibility among cultured stocks of elkhorn and staghorn corals.,Miller,2019,PeerJ,PubMed,PMID:30993053
Genomic Variants Among Threatened ,Kitchen,2019,"G3 (Bethesda, Md.)",PubMed,PMID:30914426
Metabolomic richness and fingerprints of deep-sea coral species and populations.,Vohsen,2019,Metabolomics : Official journal of the Metabolomic Society,PubMed,PMID:30830472
Distribution and status of living colonies of ,Hernández-Fernández,2019,PeerJ,PubMed,PMID:30809452
Diversity and abundance of conspicuous macrocrustaceans on coral reefs differing in level of degradation.,González-Gómez,2018,PeerJ,PubMed+WoS,PMID:29910975
Interspecific Variation in Coral Settlement and Fertilization Success in Response to Hydrogen Peroxide Exposure.,Ross,2017,The Biological bulletin,PubMed,PMID:29553820
"Genome-wide survey of single-nucleotide polymorphisms reveals fine-scale population structure and signs of selection in the threatened Caribbean elkhorn coral, ",Devlin-Durante,2017,PeerJ,PubMed,PMID:29181279
Abundance and Multilocus Sequence Analysis of Vibrio Bacteria Associated with Diseased Elkhorn Coral (Acropora palmata) of the Florida Keys.,Kemp,2018,Applied and environmental microbiology,PubMed,PMID:29079623
"Thermal stress exposure, bleaching response, and mortality in the threatened coral Acropora palmata.",Williams,2017,Marine pollution bulletin,PubMed,PMID:28751030
How old are you? Genet age estimates in a clonal animal.,Devlin-Durante,2016,Molecular ecology,PubMed+WoS,PMID:27671533
Reef-scale trends in Florida ,Miller,2016,PeerJ,PubMed,PMID:27703862
Acclimatization to high-variance habitats does not enhance physiological tolerance of two key Caribbean corals to future temperature and pH.,Camp,2016,Proceedings. Biological sciences,PubMed+WoS,PMID:27194698
"Proteomic analysis of bleached and unbleached Acropora palmata, a threatened coral species of the Caribbean.",Ricaurte,2016,Marine pollution bulletin,PubMed,PMID:27105725
"Shifting white pox aetiologies affecting Acropora palmata in the Florida Keys, 1994-2014.",Sutherland,2016,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",PubMed,PMID:26880837
"Is Acropora palmata recovering? A case study in Los Roques National Park, Venezuela.",Croquer,2016,PeerJ,PubMed,PMID:26839742
Genetic Signature of Resistance to White Band Disease in the Caribbean Staghorn Coral Acropora cervicornis.,Libro,2016,PloS one,PubMed+WoS,PMID:26784329
Correction: Spatial Homogeneity of Bacterial Communities Associated with the Surface Mucus Layer of the Reef-Building Coral Acropora palmata.,,2016,PloS one,PubMed,PMID:26745888
Microbial composition of biofilms associated with lithifying rubble of Acropora palmata branches.,Beltrán,2016,FEMS microbiology ecology,PubMed+WoS,PMID:26705570
Spatial Homogeneity of Bacterial Communities Associated with the Surface Mucus Layer of the Reef-Building Coral Acropora palmata.,Kemp,2015,PloS one,PubMed+WoS,PMID:26659364
Intraspecific diversity among partners drives functional variation in coral symbioses.,Parkinson,2015,Scientific reports,PubMed,PMID:26497873
Draft genome sequence of Halomonas meridiana R1t3 isolated from the surface microbiota of the Caribbean Elkhorn coral Acropora palmata.,Meyer,2015,Standards in genomic sciences,PubMed+WoS,PMID:26451236
Identification of Candidate Coral Pathogens on White Band Disease-Infected Staghorn Coral.,Gignoux-Wolfsohn,2015,PloS one,PubMed+WoS,PMID:26241853
"Genetic seascape of the threatened Caribbean elkhorn coral, ",Mège,2015,"Marine ecology (Berlin, Germany)",PubMed,PMID:26085704
Systematic Analysis of White Pox Disease in Acropora palmata of the Florida Keys and Role of Serratia marcescens.,Joyner,2015,Applied and environmental microbiology,PubMed,PMID:25911491
The genetics of colony form and function in Caribbean Acropora corals.,Hemond,2014,BMC genomics,PubMed+WoS,PMID:25519925
Removal of corallivorous snails as a proactive tool for the conservation of acroporid corals.,Williams,2014,PeerJ,PubMed+WoS,PMID:25469321
"Genetic susceptibility, colony size, and water temperature drive white-pox disease on the coral Acropora palmata.",Muller,2014,PloS one,PubMed,PMID:25372835
Expanding the population genetic perspective of cnidarian-Symbiodinium symbioses.,Santos,2014,Molecular ecology,PubMed,PMID:25155714
"Interactions between the tropical sea anemone Aiptasia pallida and Serratia marcescens, an opportunistic pathogen of corals.",Krediet,2014,Environmental microbiology reports,PubMed,PMID:24983533
Experimental antibiotic treatment identifies potential pathogens of white band disease in the endangered Caribbean coral Acropora cervicornis.,Sweet,2014,Proceedings. Biological sciences,PubMed,PMID:24943374
New insights into the dynamics between reef corals and their associated dinoflagellate endosymbionts from population genetic studies.,Baums,2014,Molecular ecology,PubMed,PMID:24909707
The chemical cue tetrabromopyrrole from a biofilm bacterium induces settlement of multiple Caribbean corals.,Sneed,2014,Proceedings. Biological sciences,PubMed,PMID:24850918
Assessment of Acropora palmata in the Mesoamerican Reef System.,Rodríguez-Martínez,2014,PloS one,PubMed+WoS,PMID:24763319
Culture-dependent and culture-independent analyses reveal no prokaryotic community shifts or recovery of Serratia marcescens in Acropora palmata with white pox disease.,Lesser,2014,FEMS microbiology ecology,PubMed,PMID:24597458
Use of quantitative real-time PCR for direct detection of serratia marcescens in marine and other aquatic environments.,Joyner,2014,Applied and environmental microbiology,PubMed+WoS,PMID:24375136
Temperature-dependent inhibition of opportunistic Vibrio pathogens by native coral commensal bacteria.,Frydenborg,2014,Microbial ecology,PubMed,PMID:24370863
Tracking transmission of apicomplexan symbionts in diverse Caribbean corals.,Kirk,2013,PloS one,PubMed,PMID:24260438
Variation in the transcriptional response of threatened coral larvae to elevated temperatures.,Polato,2013,Molecular ecology,PubMed+WoS,PMID:23331636
Characterization of the gacA-dependent surface and coral mucus colonization by an opportunistic coral pathogen Serratia marcescens PDL100.,Krediet,2013,FEMS microbiology ecology,PubMed,PMID:23278392
Members of native coral microbiota inhibit glycosidases and thwart colonization of coral mucus by an opportunistic pathogen.,Krediet,2013,The ISME journal,PubMed+WoS,PMID:23254513
Evidence for multiple phototransduction pathways in a reef-building coral.,Mason,2012,PloS one,PubMed,PMID:23227169
Assessment of host-associated genetic differentiation among phenotypically divergent populations of a coral-eating gastropod across the Caribbean.,Johnston,2012,PloS one,PubMed,PMID:23133600
Evolutionary insights into scleractinian corals using comparative genomic hybridizations.,Aranda,2012,BMC genomics,PubMed,PMID:22994626
Long-wavelength photosensitivity in coral planula larvae.,Mason,2012,The Biological bulletin,PubMed,PMID:22589399
Preserving and using germplasm and dissociated embryonic cells for conserving Caribbean and Pacific coral.,Hagedorn,2012,PloS one,PubMed+WoS,PMID:22413020
Weak prezygotic isolating mechanisms in threatened Caribbean Acropora corals.,Fogarty,2012,PloS one,PubMed,PMID:22348010
Gene discovery in the threatened elkhorn coral: 454 sequencing of the Acropora palmata transcriptome.,Polato,2011,PloS one,PubMed,PMID:22216101
Human pathogen shown to cause disease in the threatened eklhorn coral Acropora palmata.,Sutherland,2011,PloS one,PubMed,PMID:21858132
Evaluating patterns of a white-band disease (WBD) outbreak in Acropora palmata using spatial analysis: a comparison of transect and colony clustering.,Lentz,2011,PloS one,PubMed+WoS,PMID:21818271
Identification of fast-evolving genes in the scleractinian coral Acropora using comparative EST analysis.,Iguchi,2011,PloS one,PubMed,PMID:21701682
Rapid evolution of coral proteins responsible for interaction with the environment.,Voolstra,2011,PloS one,PubMed,PMID:21633702
"Coral reefs and residents of the U.S. Virgin Islands: a relationship of knowledge, outdoor activities and stewardship.",Settar,2010,Revista de biologia tropical,PubMed,PMID:21299104
Ocean acidification compromises recruitment success of the threatened Caribbean coral Acropora palmata.,Albright,2010,Proceedings of the National Academy of Sciences of the United States of America,PubMed,PMID:21059900
